Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
SpaceX,"Cape Canaveral, USA",Jul 15 2025 15:45 UTC,SDA Tranche 1 Transport x20,Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Baikonur, Kazakhstan",Jul 14 2025 07:12 UTC,Tianzhou 9 (TSS Cargo),Long March 7,StatusActive,65.0,Success
CASC,"Jiuquan, China",Jul 12 2025 04:45 UTC,LandSpace Cargo,Zhuque-2,StatusActive,30.0,Success
SpaceX,"Kennedy Space Center, USA",Jul 10 2025 22:15 UTC,Starlink Group 14-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Jul 07 2025 09:10 UTC,Starlink Group 11-28,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jul 05 2025 18:30 UTC,Starlink Group 12-30,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Yellow Sea, China",Jul 03 2025 06:00 UTC,Tianmou-1 23-26,Jielong-3,StatusActive,25.0,Success
SpaceX,"Cape Canaveral, USA",Jul 01 2025 03:12 UTC,Starlink Group 10-35,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Jun 30 2025 23:55 UTC,Starshield Group 1-10,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Xichang, China",Jun 30 2025 22:45 UTC,Beidou-3 M25/26,Long March 3B,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Jun 30 2025 21:15 UTC,Starlink Group 16-1,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Jun 30 2025 04:15 UTC,Unknown Payload,Long March 2D,StatusActive,29.7,Success
ULA,"Cape Canaveral, USA",Jun 30 2025 16:00 UTC,USSF-57 (NTS-3),Vulcan VC4S,StatusActive,110.0,Success
SpaceX,"Vandenberg, USA",Jun 29 2025 19:20 UTC,Starlink Group 15-2,Falcon 9 Block 5,StatusActive,52.0,Success
JAXA,"Tanegashima, Japan",Jun 28 2025 05:00 UTC,GOSAT-GW (Final H-IIA),H-IIA 202,StatusRetired,90.0,Success
CASC,"Jiuquan, China",Jun 27 2025 05:20 UTC,Yunhai-1 05,Long March 2D,StatusActive,29.7,Success
Rocket Lab,"Mahia, New Zealand",Jun 26 2025 03:00 UTC,BlackSky 3-2,Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",Jun 25 2025 20:30 UTC,Starlink Group 15-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",Jun 24 2025 21:00 UTC,Starlink Group 14-8,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jun 24 2025 19:40 UTC,O3b mPOWER 7/8,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Wenchang, China",Jun 22 2025 15:00 UTC,Shijian 27,Long March 7,StatusActive,65.0,Success
SpaceX,"Vandenberg, USA",Jun 21 2025 08:45 UTC,Starlink Group 11-25,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jun 18 2025 11:30 UTC,Starlink Group 13-12,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Baikonur, Kazakhstan",Jun 16 2025 06:40 UTC,Progress MS-35,Soyuz 2.1a,StatusActive,48.5,Success
CASC,"Taiyuan, China",Jun 14 2025 04:30 UTC,Qianfan Polar Group 09,Long March 6A,StatusActive,40.0,Success
SpaceX,"Kennedy Space Center, USA",Jun 12 2025 22:10 UTC,Starlink Group 14-5,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jun 10 2025 21:10 UTC,Starlink Group 13-10,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Jun 08 2025 03:55 UTC,Starlink Group 11-22,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Jun 05 2025 18:00 UTC,Gaofen-15,Long March 3B/E,StatusActive,50.0,Success
CASC,"Jiuquan, China",Jun 04 2025 02:45 UTC,Unknown Payload,Kuaizhou 1A,StatusActive,10.0,Success
SpaceX,"Cape Canaveral, USA",Jun 03 2025 14:20 UTC,Starlink Group 12-19,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Jun 02 2025 09:30 UTC,Kinéis 3A-E (65th Electron),Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",May 31 2025 21:00 UTC,EWS OD-1 (Military Weather),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",May 31 2025 05:12 UTC,Starlink Group 11-18,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",May 29 2025 17:00 UTC,Axiom Mission 4 (ISS),Falcon 9 Block 5,StatusActive,145.0,Success
CASC,"Xichang, China",May 28 2025 17:31 UTC,Tianwen-2 (Asteroid Sample),Long March 3B,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",May 28 2025 19:00 UTC,Starlink Group 10-32,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",May 25 2025 23:45 UTC,GPS-III-8,Falcon 9 Block 5,StatusActive,62.0,Success
Blue Origin,"Cape Canaveral, USA",May 24 2025 14:00 UTC,Blue Moon Pathfinder,New Glenn,StatusActive,150.0,Success
SpaceX,"Vandenberg, USA",May 23 2025 11:20 UTC,Starlink Group 11-19,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",May 22 2025 21:05 UTC,Starlink Group 13-8,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",May 22 2025 06:15 UTC,Yaogan 46,Long March 4C,StatusActive,32.0,Success
SpaceX,"Vandenberg, USA",May 21 2025 09:45 UTC,Starlink Group 11-17,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Kennedy Space Center, USA",May 19 2025 04:10 UTC,Starlink Group 12-28,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",May 18 2025 04:22 UTC,Starlink Group 10-28,Falcon 9 Block 5,StatusActive,52.0,Success
Roscosmos,"Baikonur, Kazakhstan",May 16 2025 18:30 UTC,Progress MS-31,Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"Vandenberg, USA",May 14 2025 21:05 UTC,Starlink Group 11-15,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",May 13 2025 14:12 UTC,Starlink Group 13-3,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",May 12 2025 03:00 UTC,Qianfan Polar Group 08,Long March 6A,StatusActive,40.0,Success
SpaceX,"Vandenberg, USA",May 11 2025 08:30 UTC,NASA TRACERS (x2) / Starlink,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Jiuquan, China",May 10 2025 22:00 UTC,Jilin-1 GF-05A,Long March 2D,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",May 10 2025 14:15 UTC,Starlink Group 11-14,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",May 10 2025 01:40 UTC,Qianfan Polar Group 08,Long March 6A,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",May 08 2025 22:15 UTC,Starlink Group 10-25,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",May 06 2025 03:30 UTC,Unknown Payload,Long March 2C,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",May 04 2025 10:20 UTC,Starlink Group 11-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",May 02 2025 18:00 UTC,Starlink Group 13-1,Falcon 9 Block 5,StatusActive,52.0,Success
Firefly Aerospace,"Vandenberg, USA",Apr 29 2025 13:37 UTC,Vast Haven-1 Demo,Firefly Alpha,StatusActive,15.0,Failure
ESA,"Kourou, French Guiana",Apr 29 2025 09:15 UTC,Biomass,Vega C,StatusActive,45.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 29 2025 02:34 UTC,Starlink Group 12-10,Falcon 9 Block 5,StatusActive,52.0,Success
ULA,"Cape Canaveral, USA",Apr 28 2025 23:01 UTC,Kuiper-1 (27 sats),Atlas V 551,StatusActive,155.0,Success
SpaceX,"Vandenberg, USA",Apr 28 2025 20:42 UTC,Starlink Group 11-9,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Apr 28 2025 20:30 UTC,SatNet Group 03,Long March 5B,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",Apr 28 2025 02:09 UTC,Starlink Group 12-23,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Apr 27 2025 15:54 UTC,Tianlian-2 05,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Apr 25 2025 01:52 UTC,Starlink Group 6-74,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Apr 24 2025 09:17 UTC,Shenzhou 20 (Crewed TSS),Long March 2F/G,StatusActive,150.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 21 2025 08:15 UTC,CRS-32 (Cargo Resupply),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Apr 21 2025 01:22 UTC,Starlink Group 12-22,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Apr 19 2025 12:47 UTC,Starshield Group 1-9,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Taiyuan, China",Apr 18 2025 22:51 UTC,Shiyan 27A-F,Long March 6A,StatusActive,40.0,Success
Northrop Grumman,"Vandenberg, USA",Apr 16 2025 19:33 UTC,NROL-174,Minotaur IV,StatusActive,45.0,Success
SpaceX,"Kennedy Space Center, USA",Apr 15 2025 20:00 UTC,Starlink Group 12-15,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Apr 13 2025 04:30 UTC,Starlink Group 12-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Apr 12 2025 12:25 UTC,Starshield Group 1-8,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Xichang, China",Apr 10 2025 16:47 UTC,TJS-17,Long March 3B/E,StatusActive,50.0,Success
Roscosmos,"Baikonur, Kazakhstan",Apr 08 2025 05:47 UTC,Soyuz MS-27 (ISS Crew),Soyuz 2.1a,StatusActive,100.0,Success
SpaceX,"Vandenberg, USA",Apr 07 2025 23:06 UTC,Starlink Group 11-11,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Apr 06 2025 02:07 UTC,Starlink Group 6-72,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Apr 04 2025 01:02 UTC,Starlink Group 11-13,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Apr 03 2025 02:12 UTC,Tianping 3A-02,Long March 6,StatusActive,35.0,Success
CASC,"Jiuquan, China",Apr 01 2025 04:00 UTC,Hulianwang Shiyan 6A-C,Long March 2D,StatusActive,29.7,Success
SpaceX,"Kennedy Space Center, USA",Mar 31 2025 12:30 UTC,Fram2 (Polar Private Crew),Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"Cape Canaveral, USA",Mar 30 2025 04:45 UTC,Starlink Group 6-80,Falcon 9 Block 5,StatusActive,52.0,Success
Isar Aerospace,"Andøya, Norway",Mar 29 2025 10:00 UTC,Spectrum Maiden Flight,Spectrum,StatusActive,12.0,Failure
CASC,"Wenchang, China",Mar 28 2025 15:55 UTC,TJS 16,Long March 7A,StatusActive,65.0,Success
SpaceX,"Vandenberg, USA",Mar 25 2025 11:30 UTC,Starlink Group 11-7,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Mar 25 2025 06:40 UTC,Tianlian 2-04,Long March 3B,StatusActive,50.0,Success
Rocket Lab,"Mahia, New Zealand",Mar 25 2025 02:15 UTC,OTC P1-1 - P1-8 (Lemur-2),Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",Mar 23 2025 14:00 UTC,USA 498 (NROL-69),Falcon 9 Block 5,StatusActive,62.0,Success
Galactic Energy,"Jiuquan, China",Mar 20 2025 08:20 UTC,Yunyao-1 43-48,Ceres-1,StatusActive,6.0,Success
SpaceX,"Vandenberg, USA",Mar 20 2025 04:30 UTC,Starshield 1-7 (NROL-57),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Mar 17 2025 21:12 UTC,Starlink Group 12-25,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Mar 17 2025 09:45 UTC,Kinéis 4A-4E,Electron,StatusActive,7.5,Success
Galactic Energy,"Jiuquan, China",Mar 16 2025 03:00 UTC,Yunyao-1 55-60,Ceres-1,StatusActive,6.0,Success
VKS,"Plesetsk, Russia",Mar 15 2025 11:20 UTC,Kosmos-2585 / 2586 / 2587,Angara 1.2,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",Mar 14 2025 18:30 UTC,Starlink Group 12-16,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Mar 14 2025 09:15 UTC,Transporter 13 (Rideshare),Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Mar 14 2025 04:00 UTC,Siwei Gaojing 3-02 / Tianyan-23,Long March 2D,StatusActive,29.7,Success
Rocket Lab,"Mahia, New Zealand",Mar 14 2025 02:30 UTC,QPS-SAR-9 (Susanoo 1),Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",Mar 13 2025 23:03 UTC,Crew-10,Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"Cape Canaveral, USA",Mar 07 2025 04:12 UTC,Starlink Group 12-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Starbase, USA",Mar 05 2025 23:30 UTC,Starship S34 / Simulators,Starship,StatusActive,200.0,Failure
ESA,"Kourou, French Guiana",Mar 05 2025 19:41 UTC,CSO 3,Ariane 6 62,StatusActive,85.0,Success
SpaceX,"Cape Canaveral, USA",Mar 02 2025 11:30 UTC,Starlink Group 12-20,Falcon 9 Block 5,StatusActive,52.0,Success
VKS,"Plesetsk, Russia",Mar 01 2025 09:12 UTC,Kosmos 2584 (GLONASS-K2),Soyuz 2.1b,StatusActive,48.5,Success
ExPace,"Jiuquan, China",Feb 28 2025 02:45 UTC,Unknown Payload,Kuaizhou 1A,StatusActive,10.0,Failure
Roscosmos,"Baikonur, Kazakhstan",Feb 26 2025 18:00 UTC,Progress MS-30,Soyuz 2.1a,StatusActive,48.5,Success
CASC,"Jiuquan, China",Feb 26 2025 21:30 UTC,Siwei Gaojing 1-03/04,Long March 2C,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Feb 26 2025 14:22 UTC,Starlink Group 12-13,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Feb 26 2025 05:16 UTC,IM-2 / Lunar Trailblazer,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Feb 22 2025 10:45 UTC,Starlink Group 15-01,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Feb 21 2025 05:30 UTC,Zhongxing-10R,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Feb 20 2025 12:14 UTC,Starlink Group 12-14,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Feb 17 2025 18:45 UTC,Starlink Group 10-12,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Feb 17 2025 04:00 UTC,BlackSky 3-1,Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",Feb 14 2025 10:00 UTC,Starlink Group 12-8,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Feb 10 2025 21:00 UTC,Starlink Group 12-18,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Feb 10 2025 12:00 UTC,WHWD 02,Long March 8A,StatusActive,45.0,Success
SpaceX,"Vandenberg, USA",Feb 10 2025 09:00 UTC,Starlink Group 11-10,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Feb 07 2025 09:30 UTC,Kinéis 2A-2E,Electron,StatusActive,7.5,Success
SpaceX,"Cape Canaveral, USA",Feb 07 2025 07:00 UTC,Starlink Group 12-9,Falcon 9 Block 5,StatusActive,52.0,Success
VKS,"Plesetsk, Russia",Feb 04 2025 08:00 UTC,Kosmos 2581-2583,Soyuz 2.1v,StatusRetired,40.0,Success
SpaceX,"Cape Canaveral, USA",Feb 03 2025 18:00 UTC,Worldview Legion 5/6,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Feb 03 2025 02:00 UTC,Starlink Group 12-3,Falcon 9 Block 5,StatusActive,52.0,Success
JAXA,"Tanegashima, Japan",Feb 02 2025 05:00 UTC,Michibiki 6 (QZSS),H3-22S,StatusActive,90.0,Success
SpaceX,"Vandenberg, USA",Jan 31 2025 10:00 UTC,Starlink Group 11-4,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jan 29 2025 04:00 UTC,SpainSat NG-1,Falcon 9 Block 5,StatusActive,62.0,Success
ISRO,"Sriharikota, India",Jan 28 2025 12:00 UTC,IRNSS 1K (NVS-02),GSLV Mk II,StatusActive,45.0,Success
SpaceX,"Cape Canaveral, USA",Jan 26 2025 15:00 UTC,Starlink Group 12-7,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Jan 23 2025 09:00 UTC,Starlink Group 11-6,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Jan 22 2025 18:00 UTC,TJS 14,Long March 3B/E,StatusActive,50.0,Success
CASC,"Taiyuan, China",Jan 22 2025 06:15 UTC,Qianfan Jigui 06,Long March 6A,StatusActive,40.0,Success
SpaceX,"Vandenberg, USA",Jan 20 2025 12:00 UTC,Starlink Group 11-8,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jan 20 2025 05:00 UTC,Starlink Group 13-1,Falcon 9 Block 5,StatusActive,52.0,Success
Galactic Energy,"Jiuquan, China",Jan 19 2025 04:00 UTC,Yunyao-1 37-40,Ceres-1,StatusActive,6.0,Success
ISRO,"Sriharikota, India",Jan 16 2025 10:00 UTC,SpaDeX Docking Demo,PSLV-C60,StatusActive,31.0,Success
CASC,"Jiuquan, China",Jan 16 2025 02:40 UTC,PAK EO-1 / Tianlu-1,Long March 2D,StatusActive,29.7,Success
SpaceX,"Starbase, USA",Jan 15 2025 17:00 UTC,Starship Flight 7 (S33),Starship,StatusActive,200.0,Failure
Blue Origin,"Cape Canaveral, USA",Jan 15 2025 14:00 UTC,DS-1 / Blue Ring Pathfinder,New Glenn,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",Jan 14 2025 18:00 UTC,Blue Ghost 1 / Hakuto-R M2,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Jan 13 2025 19:09 UTC,Transporter-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jan 12 2025 16:47 UTC,Starlink Group 12-4,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Yellow Sea, China",Jan 12 2025 05:30 UTC,CentiSpace-1 S7-S16,Jielong-3,StatusActive,25.0,Success
SpaceX,"Cape Canaveral, USA",Jan 09 2025 19:11 UTC,Starlink Group 12-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Jan 09 2025 03:53 UTC,Starshield 1-6 (NROL-153),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Jan 07 2025 15:27 UTC,Starlink Group 12-11,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Jan 05 2025 20:00 UTC,Starlink Group 6-71,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Jan 05 2025 03:20 UTC,Shijian 25,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Jan 03 2025 01:27 UTC,Thuraya 4-NGS,Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Vostochny, Russia",Nov 04 2024 23:18 UTC,Ionosfera-M 1 & 2,Soyuz 2.1b,StatusActive,48.5,Success
SpaceX,"Kennedy Space Center, USA",Nov 04 2024 02:29 UTC,CRS-31 (ISS Cargo),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Oct 31 2024 23:30 UTC,Starlink Group 11-23,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Oct 31 2024 17:34 UTC,Starlink Group 9-10,Falcon 9 Block 5,StatusActive,52.0,Success
VKS,"Plesetsk, Russia",Oct 31 2024 07:51 UTC,Kosmos 2579 (Bars-M),Soyuz 2.1a,StatusActive,48.5,Success
SpaceX,"Cape Canaveral, USA",Oct 30 2024 21:10 UTC,Starlink Group 10-13,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Oct 30 2024 11:07 UTC,Starlink Group 9-9,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Oct 29 2024 20:27 UTC,Shenzhou 19,Long March 2F/G,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",Oct 29 2024 16:35 UTC,Starlink Group 10-37,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Oct 28 2024 00:43 UTC,Starlink Group 11-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 26 2024 21:47 UTC,Starlink Group 10-21,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Vandenberg, USA",Oct 25 2024 14:20 UTC,Starlink Group 11-12,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 24 2024 01:30 UTC,SpainSat NG II,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Vandenberg, USA",Oct 24 2024 17:13 UTC,NROL-167 (Starshield),Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Cape Canaveral, USA",Oct 23 2024 21:47 UTC,Starlink Group 6-61,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Oct 23 2024 14:30 UTC,TJS-20,Long March 5,StatusActive,150.0,Success
CASC,"Xichang, China",Oct 23 2024 01:09 UTC,Yaogan 43-03,Long March 2C,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",Oct 20 2024 05:13 UTC,OneWeb Launch 20,Falcon 9 Block 5,StatusActive,62.0,Success
CAS Space,"Jiuquan, China",Oct 19 2024 03:30 UTC,PRSC-HS1 & others,Kinetica 1,StatusActive,25.0,Success
SpaceX,"Cape Canaveral, USA",Oct 18 2024 23:31 UTC,Starlink Group 8-19,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Taiyuan, China",Oct 17 2024 07:10 UTC,Qianfan Polar Group 18,Long March 6A,StatusActive,40.0,Success
CASC,"Jiuquan, China",Oct 16 2024 11:45 UTC,Gaofen 12-05,Long March 4C,StatusActive,35.0,Success
SpaceX,"Cape Canaveral, USA",Oct 16 2024 09:27 UTC,Starlink Group 10-52,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Wenchang, China",Oct 16 2024 01:33 UTC,Guowang x9,Long March 8A,StatusActive,40.0,Success
SpaceX,"Vandenberg, USA",Oct 15 2024 23:06 UTC,SDA T1TL-C x21,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Taiyuan, China",Oct 15 2024 11:06 UTC,Qianfan Polar Group 02,Long March 6A,StatusActive,40.0,Success
SpaceX,"Cape Canaveral, USA",Oct 15 2024 06:10 UTC,Starlink Group 10-10,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Oct 14 2024 16:30 UTC,Owl New World (StriX-5),Electron,StatusActive,7.5,Success
SpaceX,"Kennedy Space Center, USA",Oct 14 2024 16:06 UTC,Europa Clipper,Falcon Heavy,StatusActive,150.0,Success
SpaceX,"Cape Canaveral, USA",Oct 14 2024 01:58 UTC,KuiperSat x24,Falcon 9 Block 5,StatusActive,62.0,Success
SpaceX,"Starbase, USA",Oct 13 2024 12:25 UTC,Starship Flight 5,Starship,StatusActive,200.0,Success
SpaceX,"Vandenberg, USA",Oct 13 2024 11:10 UTC,Starlink Group 9-7,Falcon 9 Block 5,StatusActive,52.0,Success
Orienspace,"Yellow Sea, China",Oct 11 2024 02:15 UTC,Jilin-1 Kuanfu-02B-07,Gravity-1,StatusActive,20.0,Success
CASC,"Xichang, China",Oct 10 2024 13:50 UTC,Hulianwang Gaogui-03,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Vandenberg, USA",Oct 08 2024 03:54 UTC,Starlink Group 11-17,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Oct 07 2024 14:52 UTC,Hera (Asteroid Mission),Falcon 9 Block 5,StatusActive,62.0,Success
ULA,"Cape Canaveral, USA",Oct 04 2024 11:25 UTC,Cert-2 (Booster Test),Vulcan Centaur,StatusActive,110.0,Success
CASC,"Jiuquan, China",Oct 04 2024 00:49 UTC,Shiyan 31,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Sep 28 2024 17:17 UTC,Crew-9 (2 crew),Falcon 9 Block 5,StatusActive,145.0,Success
SpaceX,"Cape Canaveral, USA",Sep 27 2024 21:48 UTC,Starlink Group 10-9,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Jiuquan, China",Sep 27 2024 10:30 UTC,Shijian 19,Long March 2D,StatusActive,29.7,Success
SpaceX,"Cape Canaveral, USA",Sep 25 2024 04:01 UTC,Starlink Group 10-12,Falcon 9 Block 5,StatusActive,52.0,Success
Rocket Lab,"Mahia, New Zealand",Sep 21 2024 23:01 UTC,Kinéis Killed the Rad Star,Electron,StatusActive,7.5,Success
CASC,"Jiuquan, China",Sep 20 2024 04:11 UTC,Tianping-3,Long March 2D,StatusActive,29.7,Success
SpaceX,"Vandenberg, USA",Sep 20 2024 13:50 UTC,Starlink Group 9-17,Falcon 9 Block 5,StatusActive,52.0,Success
CASC,"Xichang, China",Sep 19 2024 01:14 UTC,Beidou-3 M27/M28,Long March 3B/E,StatusActive,50.0,Success
SpaceX,"Cape Canaveral, USA",Sep 17 2024 22:50 UTC,Galileo L13,Falcon 9 Block 5,StatusActive,62.0,Success
CASC,"Wenchang, China",Sep 13 2024 12:00 UTC,Unknown Payload,Long March 7A,StatusActive,60.0,Success
SpaceX,"Vandenberg, USA",Sep 13 2024 01:45 UTC,Starlink Group 9-6,Falcon 9 Block 5,StatusActive,52.0,Success
SpaceX,"Cape Canaveral, USA",Sep 12 2024 08:52 UTC,BlueBird Block 1 (5 sats),Falcon 9 Block 5,StatusActive,62.0,Success
Roscosmos,"Baikonur, Kazakhstan",Sep 11 2024 16:23 UTC,Soyuz MS-26 (Crewed),Soyuz 2.1a,StatusActive,90.0,Success
SpaceX,"Kennedy Space Center, USA",Sep 10 2024 09:23 UTC,Polaris Dawn (Private EVA),Falcon 9 Block 5,StatusActive,160.0,Success
SpaceX,"Vandenberg, USA",Sep 06 2024 03:20 UTC,NROL-113,Falcon 9 Block 5,StatusActive,62.0,Success
